date,ufs-weather-model,ufs-s2s-model,ufs-hafs-model
11/27/2019-04:01:01 PM,changed (287b631 => dca7a75),changed (2fc8b60 => 93b9439),unchanged (af02f4e)
11/28/2019-04:01:01 PM,unchanged (dca7a75),unchanged (93b9439),unchanged (af02f4e)
11/29/2019-04:01:01 PM,unchanged (dca7a75),unchanged (93b9439),unchanged (af02f4e)
11/30/2019-04:01:01 PM,unchanged (dca7a75),unchanged (93b9439),unchanged (af02f4e)
12/01/2019-04:01:01 PM,unchanged (dca7a75),unchanged (93b9439),unchanged (af02f4e)
12/02/2019-04:01:01 PM,unchanged (dca7a75),unchanged (93b9439),unchanged (af02f4e)
2019/12/03-16:01:01 UTC,unchanged (dca7a75),unchanged (93b9439),changed (af02f4e => 6216665)
2019/12/04-16:01:02 UTC,unchanged (dca7a75),unchanged (93b9439),unchanged (6216665)
2019/12/05-16:01:01 UTC,changed (dca7a75 => 7b70ad9),unchanged (93b9439),unchanged (6216665)
2019/12/06-16:01:01 UTC,unchanged (7b70ad9),changed (93b9439 => 2a53299),unchanged (6216665)
2019/12/07-16:01:01 UTC,unchanged (7b70ad9),unchanged (2a53299),unchanged (6216665)
2019/12/08-16:01:01 UTC,unchanged (7b70ad9),unchanged (2a53299),unchanged (6216665)
2019/12/09-16:01:01 UTC,unchanged (7b70ad9),changed (2a53299 => 798b8aa),unchanged (6216665)
2019/12/10-16:01:01 UTC,unchanged (7b70ad9),unchanged (798b8aa),unchanged (6216665)
2019/12/11-16:01:01 UTC,unchanged (7b70ad9),unchanged (798b8aa),unchanged (6216665)
2019/12/12-16:01:02 UTC,changed (7b70ad9 => 3bc41ff),unchanged (798b8aa),unchanged (6216665)
2019/12/13-16:01:02 UTC,unchanged (3bc41ff),unchanged (798b8aa),unchanged (6216665)
2019/12/14-16:01:02 UTC,unchanged (3bc41ff),unchanged (798b8aa),unchanged (6216665)
2019/12/15-16:01:01 UTC,unchanged (3bc41ff),unchanged (798b8aa),unchanged (6216665)
2019/12/16-16:01:02 UTC,unchanged (3bc41ff),unchanged (798b8aa),unchanged (6216665)
2019/12/17-16:01:01 UTC,unchanged (3bc41ff),unchanged (798b8aa),unchanged (6216665)
2019/12/18-16:01:01 UTC,unchanged (3bc41ff),changed (798b8aa => d3134f0),unchanged (6216665)
2019/12/19-16:01:01 UTC,changed (3bc41ff => b7cbde7),unchanged (d3134f0),unchanged (6216665)
2019/12/20-16:01:01 UTC,unchanged (b7cbde7),unchanged (d3134f0),unchanged (6216665)
2019/12/21-16:01:01 UTC,unchanged (b7cbde7),unchanged (d3134f0),unchanged (6216665)
2019/12/22-16:01:01 UTC,unchanged (b7cbde7),unchanged (d3134f0),unchanged (6216665)
2019/12/23-16:01:01 UTC,unchanged (b7cbde7),unchanged (d3134f0),unchanged (6216665)
2019/12/24-16:01:01 UTC,unchanged (b7cbde7),unchanged (d3134f0),unchanged (6216665)
2019/12/25-16:01:01 UTC,unchanged (b7cbde7),unchanged (d3134f0),unchanged (6216665)
2019/12/26-16:01:01 UTC,unchanged (b7cbde7),unchanged (d3134f0),unchanged (6216665)
